Subject ID,Mode,Total time,Total length,Size,Aspect Ratio,Velocity Stability,Angular Stability,Pen Off %,Hori Portion,Vert Portion,Obli Portion,Hori SD,Vert SD,Obli SD,Hesitation Count,Hesitation Portion,
p22010514,Recall,4.0576,0.364364869,0.185530134,0.341393267,0.270026544,0.16929621,0.468554616,0.4072137,0.140670715,0.452115585,0.226281713,0.560064091,0.462327589,0.189,0.034761817,2
p2250214,Copy,2.5455,0.505099299,0.249366023,0.303076667,0.440406303,0.192798618,0.311758119,0.37782801,0.228620666,0.393551324,0.387231284,0.45489949,0.501502787,0.231,0.051747312,1
p2250214,Recall,4.2106,0.398184371,0.225154739,0.180668118,0.780321445,0.196685409,0.717678746,0.515176016,0.262279326,0.222544659,0.465630154,0.533373623,0.996096174,0.035,0.008572128,2
p23010514,Copy,4.0757,0.460731135,0.544719807,0.125388221,0.550899761,0.192233234,0.37833595,0.393365163,0.229400155,0.377234682,0.334786912,0.378063843,0.405744249,0.197,0.038665358,3
p23010514,Recall,5.9989,0.38825755,0.224605938,0.215761571,0.249953244,0.145929414,0.613561321,0.351561774,0.274440355,0.373997871,0.330403972,0.447279185,0.402743484,0.281,0.033140701,1
p24230514,Copy,3.8751,0.47759412,0.21773332,0.358015348,0.429539869,0.16687977,0.444719344,0.472689621,0.185427272,0.341883107,0.256731795,0.416010816,0.437349676,0.199,0.030776369,3
p24230514,Recall,6.4721,0.218811418,0.134102083,0.408399994,0.606943979,0.172795074,0.625724938,0.576494122,0.221395713,0.202110166,0.364183108,0.647721708,0.629649059,0.064,0.013258753,1
p25290514,Copy,2.7109,0.42215595,0.167264863,0.389084257,0.447650546,0.198733031,0.398752599,0.42275193,0.222589368,0.354658702,0.330441334,0.522827152,0.545751241,0.254,0.052817634,2
p25290514,Recall,2.3293,0.378279535,0.141076961,0.374575872,0.853241003,0.236113706,0.405812417,0.385756683,0.184767731,0.429475587,0.40937102,0.588345321,0.618024138,0.121,0.031976744,3
p26020614,Copy,3.9481,0.393756019,0.181814906,0.337596789,0.20156007,0.179621952,0.42812896,0.423503681,0.198536024,0.377960295,0.211809505,0.315514005,0.429881109,0.21,0.029569135,3
p26020614,Recall,5.155,0.448312744,0.240457883,0.266879751,0.196293455,0.1505462,0.579277865,0.388979407,0.189240269,0.421780324,0.164750718,0.28573144,0.435023126,0.093,0.010429517,4
p27020614,Copy,3.165,0.414286481,0.19717362,0.317051804,0.379636187,0.193931945,0.293193717,0.380800218,0.196366683,0.422833099,0.288051334,0.382808958,0.444271945,0.24,0.046547711,3
p27020614,Recall,3.2871,0.338570913,0.187413993,0.313204091,0.472288192,0.20360518,0.443973214,0.595177492,0.322914055,0.081908453,0.407602766,0.448472263,0.872257473,0.321,0.071667783,2
p28060614,Copy,8.9597,0.422686524,0.292104554,0.218706247,0.340210863,0.120361994,0.383245794,0.390599841,0.133220188,0.476179971,0.23873126,0.377413873,0.291993792,0.653,0.058137464,1
p28060614,Recall,6.1302,0.104290723,0.029285566,0.176240483,0.115271335,0.115484457,0.761327112,0.080837634,0.257177314,0.661985052,0.961899394,0.576760911,0.426523775,0.131,0.013583575,1
p29090614,Copy,3.9522,0.36054007,0.154643524,0.361138112,0.281219938,0.150219828,0.428191861,0.404332079,0.170647315,0.425020606,0.31395808,0.446229783,0.421749257,0.298,0.041678322,2
p29090614,Recall,8.6418,0.346644073,0.154820218,0.26340256,0.353592694,0.12964315,0.691207936,0.482621524,0.184053444,0.333325032,0.327473797,0.532456064,0.612816106,0.321,0.031222644,1
p30090614,Copy,3.6325,0.486495862,0.231953164,0.36201822,0.313069794,0.15539769,0.374642062,0.396639212,0.216519071,0.386841717,0.30266256,0.53844711,0.430428771,0.238,0.03786794,2
p30090614,Recall,5.5578,0.414180524,0.321970198,0.269651766,0.375446491,0.142572273,0.686755861,0.390780424,0.204775825,0.404443751,0.300166534,0.584363101,0.524809763,0.227,0.027866438,2
p31230614,Copy,3.725,0.517600075,0.219699104,0.354005445,0.348098897,0.17069669,0.339280221,0.461460446,0.194364305,0.34417525,0.226934885,0.358149944,0.387899652,0.272,0.041839717,4
p31230614,Recall,2.2869,0.306112656,0.298478158,0.256538436,0.699301648,0.221767095,0.484628284,0.393291142,0.274355228,0.33235363,0.431298996,0.478399064,0.532216046,0.073,0.020408163,2
p32250614,Copy,2.084,0.466187274,0.229763,0.347167971,0.569028275,0.220162173,0.53808752,0.384858877,0.231785141,0.383355982,0.57811768,0.614822517,0.622651371,0.059,0.015941637,3
p32250614,Recall,2.576,0.477186232,0.336538489,0.264676592,0.812663921,0.22607473,0.438832772,0.365018215,0.217514215,0.41746757,0.334176543,0.731116663,0.558378107,0.123,0.034521471,3
p3260214,Copy,5.6751,0.464131824,0.188499916,0.367147797,0.186242692,0.144734573,0.416280539,0.440138231,0.182167777,0.377693992,0.196708543,0.342531535,0.375309483,0.334,0.035176409,1
p3260214,Recall,2.6249,0.337495673,0.165505923,0.299828699,0.377498167,0.207401566,0.491763134,0.511755335,0.16496693,0.323277735,0.25547481,0.513570018,0.568947528,0.155,0.034513471,2
p33140714,Copy,4.829,0.452818601,0.213236483,0.342373796,0.162054291,0.16470952,0.401584607,0.416833507,0.210177442,0.372989051,0.170710216,0.267945151,0.357748978,0.28,0.031695721,3
p33140714,Recall,5.3506,0.388960879,0.165001365,0.285660878,0.156684574,0.146265676,0.607015333,0.395238062,0.217995813,0.386766124,0.226061256,0.313500414,0.39457471,0.231,0.024262157,3
p34140714,Copy,4.807,0.388943914,0.156360626,0.454729216,0.11910451,0.155951173,0.353110472,0.48344462,0.160870819,0.35568456,0.208087435,0.261809399,0.362816344,0.432,0.047824643,2
p34140714,Recall,5.2763,0.417204647,0.188939562,0.396806356,0.329441974,0.155049601,0.331523623,0.484638486,0.15408552,0.361275994,0.21210676,0.272638156,0.372182476,0.331,0.038239372,3
p35280714,Copy,4.5083,0.405960911,0.175701741,0.348263937,0.186672762,0.163591529,0.442519872,0.385261014,0.205949796,0.40878919,0.246828662,0.251311341,0.378129455,0.409,0.048528714,4
p35280714a,Recall,4.1741,0.312816582,0.142509982,0.296730865,0.229491855,0.16078253,0.513394697,0.433376195,0.207616386,0.35900742,0.197885332,0.423750757,0.447749158,0.237,0.032563891,3
p38310714,Copy,9.0112,0.444849227,0.165113372,0.427432851,0.1631426,0.118176533,0.528995395,0.410422302,0.168696067,0.420881631,0.277521853,0.352602229,0.297777838,0.613,0.05228145,2
p38310714,Recall,8.2471,0.416182515,0.234155679,0.383696289,0.270131522,0.148876756,0.433793173,0.498359185,0.179592185,0.32204863,0.181458422,0.291074009,0.343955126,0.653,0.065760322,4
p39310714,Copy,4.037,0.345262958,0.105847835,0.447144261,0.220371778,0.164014494,0.423481042,0.505138659,0.155846909,0.339014433,0.278816571,0.485149215,0.494551073,0.45,0.068534877,2
p39310714,Recall,5.549,0.393443657,0.20087795,0.335148571,0.413205481,0.157505532,0.510895594,0.632381358,0.128764772,0.23885387,0.238493312,0.454591548,0.553698409,0.653,0.078194228,1
p40310714,Copy,3.5776,0.385842298,0.14054357,0.397651749,0.24554076,0.186629335,0.330437433,0.398596512,0.203615447,0.397788042,0.236424399,0.356859523,0.435265974,0.414,0.063109756,3
p40310714,Recall,3.2438,0.44255862,0.228494733,0.387685286,0.264189757,0.181775281,0.489445012,0.444056612,0.184418595,0.371524793,0.36475657,0.420358882,0.441170448,0.143,0.024348714,4
p41040814,Copy,3.8142,0.42600822,0.182443695,0.404847397,0.436380172,0.182365793,0.349579016,0.42978358,0.191192232,0.379024189,0.220851866,0.336788097,0.435072201,0.272,0.044048583,3
p41040814,Recall,4.1117,0.506595076,0.332281025,0.366041976,0.855642294,0.190053947,0.368894339,0.379526389,0.197602283,0.422871327,0.350144381,0.486108225,0.381333446,0.251,0.051308258,3
p42040814,Copy,14.0178,0.369752593,0.169159023,0.412880913,0.083624035,0.114784333,0.345560488,0.461040386,0.210498733,0.328460882,0.150700728,0.23496306,0.301968086,2.265,0.125700649,1
p42040814,Recall,8.1009,0.172418616,0.148733071,0.21139629,0.14048662,0.122828024,0.593376942,0.276939297,0.246922296,0.476138408,0.245051072,0.339829382,0.338295176,0.517,0.042276556,3
p4270214,Recall,1.0078,0.056459801,0.083745418,0.383153086,1.63077229,0.492716365,0.247058824,0.463190849,0.339799886,0.197009265,0.947722234,0.855273013,1.420327032,0.064,0.075382803,1
p43070814,Copy,3.9282,0.454374351,0.234481502,0.414626721,0.57700822,0.190672373,0.391532655,0.419314511,0.181303495,0.399381994,0.319365163,0.353837699,0.447572185,0.269,0.044149023,2
p43070814,Recall,5.3572,0.33568404,0.186148037,0.249023328,0.425436824,0.130922401,0.687384615,0.358038948,0.194075665,0.447885386,0.360682673,0.579443335,0.534997743,0.165,0.020310192,3
